Timer;Accel1X;Accel1Y;Accel1Z;Gyro1X;Gyro1Y;Gyro1Z;Accel2X;Accel2Y;Accel2Z;Gyro2X;Gyro2Y;Gyro2Z;Flexion;Latitude;Longitude;Altitude;Vitesse;Orientation;Satellites;HDOP
1736948440.0;;;;;;;;;;;;;;48.85001;2.35521;38.4;;;;
1736948441.0;;;;;;;;;;;;;;48.850029;2.355168;38.4;;;;
1736948442.0;;;;;;;;;;;;;;48.850037;2.35513;38.6;;;;
1736948443.0;;;;;;;;;;;;;;48.850048;2.35509;38.6;;;;
1736948444.0;;;;;;;;;;;;;;48.850057;2.355044;38.8;;;;
1736948445.0;;;;;;;;;;;;;;48.850072;2.354993;38.8;;;;
1736948446.0;;;;;;;;;;;;;;48.850086;2.354958;38.8;;;;
1736948447.0;;;;;;;;;;;;;;48.850102;2.354925;38.6;;;;
1736948448.0;;;;;;;;;;;;;;48.850118;2.35489;38.6;;;;
1736948449.0;;;;;;;;;;;;;;48.850124;2.354851;38.4;;;;
1736948450.0;;;;;;;;;;;;;;48.850137;2.354813;38.6;;;;
1736948451.0;;;;;;;;;;;;;;48.850149;2.354773;38.6;;;;
1736948452.0;;;;;;;;;;;;;;48.850156;2.354742;38.6;;;;
1736948453.0;;;;;;;;;;;;;;48.850163;2.354711;38.6;;;;
1736948454.0;;;;;;;;;;;;;;48.850167;2.354679;38.6;;;;
1736948455.0;;;;;;;;;;;;;;48.850177;2.354634;38.6;;;;
1736948456.0;;;;;;;;;;;;;;48.850194;2.354587;38.6;;;;
1736948457.0;;;;;;;;;;;;;;48.850209;2.354546;38.2;;;;
1736948458.0;;;;;;;;;;;;;;48.850223;2.354498;38.0;;;;
1736948459.0;;;;;;;;;;;;;;48.850235;2.354453;37.8;;;;
1736948460.0;;;;;;;;;;;;;;48.850251;2.354412;37.8;;;;
1736948461.0;;;;;;;;;;;;;;48.850267;2.354368;37.6;;;;
1736948462.0;;;;;;;;;;;;;;48.850282;2.354328;37.4;;;;
1736948463.0;;;;;;;;;;;;;;48.850296;2.354285;37.4;;;;
1736948464.0;;;;;;;;;;;;;;48.850307;2.354249;37.2;;;;
1736948465.0;;;;;;;;;;;;;;48.850321;2.35421;37.2;;;;
1736948466.0;;;;;;;;;;;;;;48.850335;2.354179;37.2;;;;
1736948467.0;;;;;;;;;;;;;;48.850343;2.354147;37.2;;;;
1736948468.0;;;;;;;;;;;;;;48.850354;2.354112;37.2;;;;
1736948469.0;;;;;;;;;;;;;;48.850368;2.354077;37.2;;;;
1736948470.0;;;;;;;;;;;;;;48.85038;2.354046;37.2;;;;
1736948471.0;;;;;;;;;;;;;;48.850386;2.354016;37.2;;;;
1736948472.0;;;;;;;;;;;;;;48.850398;2.353978;37.2;;;;
1736948473.0;;;;;;;;;;;;;;48.850408;2.353943;37.2;;;;
1736948474.0;;;;;;;;;;;;;;48.850418;2.353904;37.2;;;;
1736948475.0;;;;;;;;;;;;;;48.850429;2.353865;37.0;;;;
1736948476.0;;;;;;;;;;;;;;48.850439;2.353822;37.0;;;;
1736948477.0;;;;;;;;;;;;;;48.850451;2.353781;37.0;;;;
1736948478.0;;;;;;;;;;;;;;48.850459;2.353739;37.0;;;;
1736948479.0;;;;;;;;;;;;;;48.850469;2.353707;37.2;;;;
1736948480.0;;;;;;;;;;;;;;48.850478;2.353675;37.0;;;;
1736948481.0;;;;;;;;;;;;;;48.850486;2.353635;37.2;;;;
1736948482.0;;;;;;;;;;;;;;48.850497;2.353598;37.2;;;;
1736948483.0;;;;;;;;;;;;;;48.850509;2.353561;37.2;;;;
1736948484.0;;;;;;;;;;;;;;48.850526;2.35353;37.2;;;;
1736948485.0;;;;;;;;;;;;;;48.850536;2.353495;37.2;;;;
1736948486.0;;;;;;;;;;;;;;48.850549;2.353456;37.2;;;;
1736948487.0;;;;;;;;;;;;;;48.850561;2.353422;37.2;;;;
1736948488.0;;;;;;;;;;;;;;48.850575;2.353388;37.2;;;;
1736948489.0;;;;;;;;;;;;;;48.850588;2.353356;37.2;;;;
1736948490.0;;;;;;;;;;;;;;48.850596;2.353321;37.0;;;;
1736948491.0;;;;;;;;;;;;;;48.850611;2.353282;37.0;;;;
1736948492.0;;;;;;;;;;;;;;48.850624;2.353244;36.8;;;;
1736948493.0;;;;;;;;;;;;;;48.850638;2.3532;36.8;;;;
1736948494.0;;;;;;;;;;;;;;48.850652;2.353162;36.8;;;;
1736948495.0;;;;;;;;;;;;;;48.850662;2.353121;36.8;;;;
1736948496.0;;;;;;;;;;;;;;48.850673;2.35308;36.8;;;;
1736948497.0;;;;;;;;;;;;;;48.850691;2.353033;36.8;;;;
1736948498.0;;;;;;;;;;;;;;48.850702;2.353004;36.8;;;;
1736948499.0;;;;;;;;;;;;;;48.850715;2.352971;36.8;;;;
1736948500.0;;;;;;;;;;;;;;48.850728;2.352941;36.8;;;;
1736948501.0;;;;;;;;;;;;;;48.850735;2.352905;36.8;;;;
1736948502.0;;;;;;;;;;;;;;48.850739;2.352874;36.8;;;;
1736948503.0;;;;;;;;;;;;;;48.850751;2.352837;36.8;;;;
1736948504.0;;;;;;;;;;;;;;48.850763;2.352797;36.8;;;;
1736948505.0;;;;;;;;;;;;;;48.850778;2.352755;36.8;;;;
1736948506.0;;;;;;;;;;;;;;48.850788;2.352721;36.8;;;;
1736948507.0;;;;;;;;;;;;;;48.850801;2.352687;36.8;;;;
1736948508.0;;;;;;;;;;;;;;48.850808;2.352653;36.8;;;;
1736948509.0;;;;;;;;;;;;;;48.850819;2.35262;36.8;;;;
1736948510.0;;;;;;;;;;;;;;48.850828;2.352589;36.8;;;;
1736948511.0;;;;;;;;;;;;;;48.850839;2.352553;36.8;;;;
1736948512.0;;;;;;;;;;;;;;48.850851;2.352515;36.8;;;;
1736948513.0;;;;;;;;;;;;;;48.850858;2.352481;36.8;;;;
1736948514.0;;;;;;;;;;;;;;48.850867;2.352447;36.8;;;;
1736948515.0;;;;;;;;;;;;;;48.850878;2.352413;36.8;;;;
1736948516.0;;;;;;;;;;;;;;48.850891;2.352375;37.0;;;;
1736948517.0;;;;;;;;;;;;;;48.850896;2.352341;36.8;;;;
1736948518.0;;;;;;;;;;;;;;48.850909;2.352302;36.8;;;;
1736948519.0;;;;;;;;;;;;;;48.850922;2.352265;37.0;;;;
1736948520.0;;;;;;;;;;;;;;48.850934;2.352234;36.8;;;;
1736948521.0;;;;;;;;;;;;;;48.850948;2.352197;37.0;;;;
1736948522.0;;;;;;;;;;;;;;48.850958;2.352169;37.0;;;;
1736948523.0;;;;;;;;;;;;;;48.850964;2.352139;37.0;;;;
1736948524.0;;;;;;;;;;;;;;48.850977;2.352097;37.0;;;;
1736948525.0;;;;;;;;;;;;;;48.85099;2.35206;37.0;;;;
1736948526.0;;;;;;;;;;;;;;48.850996;2.352029;37.2;;;;
1736948527.0;;;;;;;;;;;;;;48.851007;2.35199;37.2;;;;
1736948528.0;;;;;;;;;;;;;;48.851015;2.35196;37.2;;;;
1736948529.0;;;;;;;;;;;;;;48.851028;2.351924;37.4;;;;
1736948530.0;;;;;;;;;;;;;;48.851041;2.351886;37.4;;;;
1736948531.0;;;;;;;;;;;;;;48.851051;2.351847;37.4;;;;
1736948532.0;;;;;;;;;;;;;;48.85106;2.351811;37.4;;;;
1736948533.0;;;;;;;;;;;;;;48.851068;2.351767;37.2;;;;
1736948534.0;;;;;;;;;;;;;;48.851082;2.351729;37.4;;;;
1736948535.0;;;;;;;;;;;;;;48.851094;2.351691;37.4;;;;
1736948536.0;;;;;;;;;;;;;;48.851105;2.351655;37.4;;;;
1736948537.0;;;;;;;;;;;;;;48.851118;2.351619;37.4;;;;
1736948538.0;;;;;;;;;;;;;;48.85113;2.351585;37.4;;;;
1736948539.0;;;;;;;;;;;;;;48.851143;2.351554;37.2;;;;
1736948540.0;;;;;;;;;;;;;;48.851155;2.351517;37.4;;;;
1736948541.0;;;;;;;;;;;;;;48.851175;2.351487;37.4;;;;
1736948542.0;;;;;;;;;;;;;;48.851195;2.351457;37.2;;;;
1736948543.0;;;;;;;;;;;;;;48.851217;2.351427;37.2;;;;
1736948544.0;;;;;;;;;;;;;;48.851229;2.351393;37.2;;;;
1736948545.0;;;;;;;;;;;;;;48.851236;2.351352;37.0;;;;
1736948546.0;;;;;;;;;;;;;;48.851239;2.351308;37.0;;;;
1736948547.0;;;;;;;;;;;;;;48.851246;2.35127;37.0;;;;
1736948548.0;;;;;;;;;;;;;;48.85125;2.35123;37.0;;;;
1736948549.0;;;;;;;;;;;;;;48.851254;2.351185;37.0;;;;
1736948550.0;;;;;;;;;;;;;;48.851271;2.351139;37.0;;;;
1736948551.0;;;;;;;;;;;;;;48.851292;2.351098;37.0;;;;
