Timer;Latitude;Longitude;Altitude;Vitesse;Allure
1736948952.0;48.857345;2.338395;36.6;9.26142644690868;6.478483670301896
1736948953.0;48.857368;2.338367;36.6;11.810932026724444;5.080039396064491
1736948954.0;48.857386;2.338341;36.4;9.955129226546916;6.0270438117468705
1736948955.0;48.857404;2.338313;36.6;10.326732808467339;5.810162915303026
1736948956.0;48.857424;2.338286;36.4;10.72306650460879;5.595414331731685
1736948957.0;48.857442;2.33826;36.4;9.955123987197783;6.027046983760279
1736948958.0;48.857461;2.338233;36.4;10.427526458609606;5.754001223411936
1736948959.0;48.857479;2.338206;36.4;10.139183949840865;5.917636004714335
1736948960.0;48.857498;2.338178;36.4;10.609968342780867;5.655059285904903
1736948961.0;48.857516;2.338148;36.4;10.711501451475835;5.601455619625872
1736948962.0;48.857534;2.338117;36.4;10.908396720185452;5.500350009178979
1736948963.0;48.857552;2.33809;36.4;10.139176720343997;5.917640224142809
1736948964.0;48.857568;2.33806;36.4;10.190061292604685;5.888090196625636
1736948965.0;48.857577;2.33803;36.6;8.70568668016412;6.892046797033232
1736948966.0;48.857586;2.337994;36.6;10.16975197890149;5.8998488974439125
1736948967.0;48.857594;2.337959;36.6;9.784906180732944;6.131893233492982
1736948968.0;48.857603;2.337914;36.8;12.42163810198948;4.8302807976985145
1736948969.0;48.85761;2.337874;36.8;10.932043440893075;5.488452394504792
1736948970.0;48.85762;2.337834;36.8;11.299717833452153;5.309867103262837
1736948971.0;48.857628;2.337796;36.8;10.536943724751591;5.694250777771379
1736948972.0;48.857632;2.337757;36.8;10.42628132723229;5.7546883799583135
1736948973.0;48.857642;2.337718;36.8;11.053077179709664;5.428352577700543
1736948974.0;48.857649;2.337678;36.8;10.93203551223669;5.4884563751041116
1736948975.0;48.857661;2.33764;36.8;11.128753581457149;5.391439352199573
1736948976.0;48.857666;2.337608;36.8;8.687151914029448;6.906751556065468
1736948977.0;48.857675;2.337575;36.8;9.432818861053141;6.360770930069701
1736948978.0;48.85769;2.337532;36.8;12.84890147865909;4.669659900471242
1736948979.0;48.857697;2.337493;37.0;10.676899796522337;5.619608795012116
1736948980.0;48.857703;2.337452;37.0;11.094058466551404;5.40830032407888
1736948981.0;48.857711;2.337415;37.0;10.285572143546755;5.833413947482197
1736948982.0;48.85772;2.337376;37.0;10.914437018234159;5.497305990200068
1736948983.0;48.857726;2.337341;37.0;9.552811224574272;6.280873618192318
1736948984.0;48.857735;2.337307;36.8;9.677471978217877;6.199966286138408
1736948985.0;48.857744;2.337274;36.8;9.432807809383496;6.360778382478403
1736948986.0;48.857752;2.337238;36.8;10.034867229990583;5.979152351979479
1736948987.0;48.85776;2.337202;36.8;10.034865791353246;5.979153209173985
1736948988.0;48.857765;2.337164;36.8;10.236007754285016;5.861660272275849
1736948989.0;48.857775;2.337124;36.8;11.299687362439863;5.309881421979857
1736948990.0;48.857785;2.337089;37.0;10.075400079006064;5.955098510184321
1736948991.0;48.857794;2.33705;37.0;10.914422697063141;5.497313203395066
1736948992.0;48.857803;2.33701;37.0;11.164119291831138;5.3743603442057815
1736948993.0;48.857814;2.336966;36.8;12.42964777634377;4.827168161127831
1736948994.0;48.857819;2.336931;37.0;9.46006583183381;6.342450577679453
1736948995.0;48.857828;2.336895;36.8;10.169709160150044;5.899873738288378
1736948996.0;48.857837;2.33686;36.8;9.92311744709298;6.046486935169477
1736948997.0;48.857845;2.336823;36.8;10.285547366778745;5.83342799954369
1736948998.0;48.857856;2.336782;36.8;11.69191642552027;5.131750674255278
