Timer;Accel1X;Accel1Y;Accel1Z;Gyro1X;Gyro1Y;Gyro1Z;Accel2X;Accel2Y;Accel2Z;Gyro2X;Gyro2Y;Gyro2Z;Latitude;Longitude;Altitude;Vitesse;Orientation;Satellites;HDOP;
299435;18860;2060;-336;-12109;-165;891;14704;-1208;32767;46;406;24;;;;;;;;
301455;18888;2280;-396;-12065;-175;902;14716;-1272;32767;38;397;23;;;;;;;;
303477;18912;2052;-308;-12191;-172;908;14700;-1300;32767;43;407;24;;;;;;;;
305932;18920;2152;-412;-12040;-195;925;14760;-1212;32767;26;407;33;;;;;;;;
307954;18928;2044;-180;-12104;-168;977;14744;-1312;32767;23;391;27;;;;;;;;
309974;18916;2084;-164;-12056;-169;853;14692;-1296;32767;3;391;35;;;;;;;;
312349;18932;2132;-200;-12161;-180;923;14664;-1224;32767;41;389;29;;;;;;;;
314371;18824;2060;-324;-11939;-162;905;14792;-1268;32767;25;395;23;;;;;;;;
316391;18892;2328;-312;-12003;-158;931;14732;-1192;32767;48;400;28;;;;;;;;
318523;18916;2312;-256;-12117;-167;876;14732;-1284;32767;47;391;14;;;;;;;;
320543;19056;2316;-344;-12009;-149;902;14712;-1292;32767;46;396;38;;;;;;;;
322564;19004;2264;-364;-12073;-159;837;14712;-1252;32767;19;400;28;;;;;;;;
324936;18892;2168;-372;-12114;-151;962;14696;-1208;32767;11;390;34;;;;;;;;
326961;18956;2216;-348;-12059;-158;931;14716;-1260;32767;48;408;30;;;;;;;;
328983;18820;2128;-468;-12031;-182;927;14692;-1312;32767;29;413;2;;;;;;;;
331117;18844;1932;-400;-12072;-159;894;14696;-1200;32767;20;371;32;;;;;;;;
333139;18832;2240;-272;-12100;-185;1022;14732;-1164;32767;47;385;38;;;;;;;;
335159;18828;2228;-448;-12044;-201;979;14624;-1196;32767;32;389;5;;;;;;;;
337542;18844;2244;-524;-12143;-167;913;14752;-1232;32767;41;408;28;;;;;;;;
339562;18844;2272;-324;-11981;-167;845;14740;-1232;32767;43;382;38;;;;;;;;
341598;18868;2224;-256;-12098;-181;882;14756;-1244;32767;40;411;17;;;;;;;;
343703;18824;2296;-336;-12055;-179;895;14680;-1244;32767;41;401;41;;;;;;;;
345723;18944;2020;-328;-12224;-173;916;14804;-1240;32767;39;398;37;;;;;;;;
347744;18892;2172;-324;-12145;-178;939;14700;-1288;32767;19;410;40;;;;;;;;
350027;18892;2404;-168;-12062;-185;935;14744;-1248;32767;38;388;22;;;;;;;;
352049;18912;2264;-248;-12038;-184;949;14764;-1224;32767;33;388;10;;;;;;;;
354074;18880;2252;-292;-12003;-182;996;14744;-1248;32767;51;388;34;;;;;;;;
356536;18776;2040;-208;-12063;-163;942;14660;-1256;32767;61;402;26;;;;;;;;
358570;18840;1920;-368;-12028;-194;895;14760;-1236;32767;34;390;11;;;;;;;;
360590;18872;2112;-356;-12173;-171;874;14740;-1236;32767;20;375;34;;;;;;;;
362937;18916;2260;-216;-12106;-171;722;14764;-1204;32767;32;392;33;;;;;;;;
364957;18904;2500;-348;-12187;-175;912;14716;-1284;32767;52;404;42;;;;;;;;
366979;18960;2056;-304;-12012;-169;838;14704;-1264;32767;-2;403;44;;;;;;;;
369115;18868;2028;-396;-12097;-175;890;14760;-1244;32767;53;373;15;;;;;;;;
371135;18816;2340;-344;-12024;-178;921;14700;-1224;32767;46;406;32;;;;;;;;
373156;18908;2048;-260;-12022;-159;860;14640;-1220;32767;53;402;17;;;;;;;;
375688;18832;2312;-324;-12079;-193;861;14684;-1276;32767;38;405;25;;;;;;;;
377710;18844;2072;-328;-12141;-187;963;14724;-1268;32767;50;380;12;;;;;;;;
379730;18800;2096;-400;-12180;-172;894;14636;-1252;32767;46;407;17;;;;;;;;
381943;18884;2272;-208;-12003;-154;957;14720;-1200;32767;38;393;30;;;;;;;;
383968;18568;2260;-436;-12254;-181;917;15068;-1076;32767;52;354;87;;;;;;;;
385988;18932;2312;-148;-12123;-148;960;14612;-1192;32767;37;389;23;;;;;;;;
388439;18836;2448;-448;-12067;-191;910;14664;-1344;32767;13;396;40;;;;;;;;
390459;18904;2148;-408;-12099;-169;967;14752;-1184;32767;19;369;31;;;;;;;;
392481;19000;2092;-192;-12016;-201;892;14744;-1208;32767;40;385;38;;;;;;;;
394612;18800;2188;-368;-12186;-162;855;14732;-1216;32767;10;387;29;;;;;;;;
396634;18872;2180;-276;-12058;-199;902;14704;-1236;32767;47;407;31;;;;;;;;
398659;18840;2148;-236;-12150;-163;866;14700;-1256;32767;34;398;31;;;;;;;;
401241;18928;2364;-284;-12197;-180;923;14764;-1220;32767;10;397;36;;;;;;;;
403262;18960;2116;-272;-12013;-180;892;14696;-1220;32767;50;364;17;;;;;;;;
405282;18948;2312;-424;-12072;-179;941;14688;-1232;32767;38;390;16;;;;;;;;
