Timer,Accel1X,Accel1Y,Accel1Z,Gyro1X,Gyro1Y,Gyro1Z,Accel2X,Accel2Y,Accel2Z,Gyro2X,Gyro2Y,Gyro2Z,Flexion,Latitude,Longitude,Altitude,Vitesse,Orientation,Satellites,HDOP
21970,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
22013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
22055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
22217,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,,,,,,,
22259,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
22301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
22465,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
22507,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
22549,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
22662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
22704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
22746,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
22830,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
22875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,,,,,,,
22916,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,,,,,,,
23070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
23115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
23157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,,,,,,,
23362,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
23404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
23446,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
23927,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
23969,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
24027,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
24255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
24297,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
24340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
24476,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
24518,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
24559,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
24821,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
24863,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
24908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
25064,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
25106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
25148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
25417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,,,
25459,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
25501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
25656,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
25697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
25740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
25969,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
26011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
26053,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,,,,,,,
26135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
26178,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
26220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
26375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,,,,,,,
26417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
26459,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,
