Timer;Accel1X;Accel1Y;Accel1Z;Gyro1X;Gyro1Y;Gyro1Z;Accel2X;Accel2Y;Accel2Z;Gyro2X;Gyro2Y;Gyro2Z;Flexion;Latitude;Longitude;Altitude;Vitesse;Orientation;Satellites;HDOP;
349200;18880;388;720;-12157;-166;818;14512;-2232;32767;29;420;40;0;;;;;;;;
351354;18692;320;852;-12148;-162;967;14500;-2180;32767;49;398;22;0;;;;;;;;
353379;18764;312;676;-12161;-174;964;14592;-2264;32767;30;384;39;0;;;;;;;;
355409;18804;480;844;-12197;-162;875;14576;-2260;32767;37;370;22;0;;;;;;;;
357659;18808;416;696;-12064;-155;879;14512;-2200;32767;34;419;15;0;;;;;;;;
359684;18780;276;736;-12110;-196;880;14484;-2220;32767;58;401;20;0;;;;;;;;
361709;18836;484;808;-12016;-159;851;14576;-2228;32767;32;408;18;0;;;;;;;;
364361;18876;228;724;-12094;-164;964;14628;-2228;32767;57;364;39;0;;;;;;;;
366386;18716;480;624;-12224;-176;884;14580;-2196;32767;45;402;28;0;;;;;;;;
368414;18744;396;704;-12149;-163;971;14556;-2272;32767;35;401;34;0;;;;;;;;
370664;18796;524;724;-12075;-171;948;14544;-2280;32767;48;420;27;0;;;;;;;;
372689;18920;100;880;-12129;-151;883;14476;-2232;32767;43;404;36;0;;;;;;;;
374714;18744;444;748;-12141;-162;876;14552;-2204;32767;63;401;29;0;;;;;;;;
376963;18728;136;780;-12153;-166;882;14588;-2216;32767;81;403;7;0;;;;;;;;
378988;18872;552;756;-12133;-184;909;14592;-2180;32767;36;394;29;0;;;;;;;;
381013;18780;348;808;-12122;-150;891;14488;-2144;32767;53;388;8;0;;;;;;;;
383267;18816;696;668;-12060;-164;927;14568;-2300;32767;51;392;30;0;;;;;;;;
385292;18752;112;708;-12109;-183;908;14540;-2184;32767;59;404;31;0;;;;;;;;
387317;18824;172;856;-12133;-157;981;14584;-2312;32767;60;412;22;0;;;;;;;;
389506;18772;304;756;-11968;-191;898;14556;-2236;32767;46;398;25;0;;;;;;;;
391531;18840;372;780;-12083;-154;961;14592;-2208;32767;42;419;40;0;;;;;;;;
393556;18812;620;780;-12081;-197;997;14488;-2208;32767;71;378;24;0;;;;;;;;
397262;18860;100;752;-12140;-175;867;14608;-2196;32767;28;408;15;0;;;;;;;;
399290;18784;320;720;-12033;-164;897;14508;-2268;32767;52;406;42;0;;;;;;;;
401315;18692;416;692;-12101;-157;890;14512;-2236;32767;53;417;26;0;;;;;;;;
403564;18868;636;652;-12077;-168;930;14576;-2232;32767;36;408;11;0;;;;;;;;
405602;18836;360;888;-12146;-201;949;14528;-2220;32767;45;390;48;0;;;;;;;;
407627;18768;532;712;-12045;-136;943;14508;-2200;32767;39;391;30;0;;;;;;;;
409860;18868;236;772;-12111;-185;880;14528;-2220;32767;43;392;9;0;;;;;;;;
411885;18772;576;680;-12147;-192;948;14548;-2228;32767;53;408;30;0;;;;;;;;
413915;18784;276;792;-12090;-163;954;14512;-2216;32767;50;415;34;0;;;;;;;;
416069;18904;572;820;-12066;-192;861;14576;-2112;32767;63;365;42;0;;;;;;;;
418094;18708;564;704;-12084;-205;870;14580;-2224;32767;55;392;39;0;;;;;;;;
420119;18692;528;780;-12122;-166;880;14612;-2232;32767;52;407;30;0;;;;;;;;
422655;18916;312;852;-12272;-172;937;14572;-2228;32767;45;392;22;0;;;;;;;;
424680;18788;676;636;-12030;-167;1000;14568;-2164;32767;49;388;32;0;;;;;;;;
426708;18884;492;704;-12196;-168;909;14572;-2192;32767;47;408;8;0;;;;;;;;
428862;18856;280;768;-12188;-177;869;14596;-2292;32767;35;381;32;0;;;;;;;;
430887;18796;308;692;-11999;-174;956;14508;-2252;32767;54;408;36;0;;;;;;;;
432912;18452;1916;2472;-13265;204;943;14132;-808;32767;-4515;763;1502;0;;;;;;;;
435463;19168;376;6560;-13553;6305;834;15752;-2080;32767;-6551;6463;-1655;0;;;;;;;;
437488;21404;-44;1608;-12279;-2076;1032;16880;-2524;32767;82;-1276;2728;0;;;;;;;;
439513;21600;-972;-1608;-13741;-1467;1070;16644;-3448;32767;-5496;-1243;3965;0;;;;;;;;
441767;22072;2684;1420;-14192;-2337;636;18636;428;32767;-8741;-2240;-3095;0;;;;;;;;
443792;22100;-696;1688;-11594;-618;867;18308;-3044;32767;2524;-96;64;0;;;;;;;;
445817;16556;320;308;-13585;388;1121;12308;-2228;32767;-5509;840;2961;0;;;;;;;;
448161;19248;1832;-372;-13730;-582;941;14828;-676;32767;-6327;-292;1407;0;;;;;;;;
